$DATA1 SOURCE='HSPICE' VERSION='I-2013.12-SP1-1 32-BIT'
$OPTION MEASFORM=1
.TITLE '****summer 2017 necrl stt latch wite path monte carlo analysis****'
index 1:vdvtn@dvtn_intra 5:vdvtn@dvtn_intra 2:vdvtn@dvtn_intra 3:vdvtp@dvtp_intra 6:vdvtp@dvtp_intra 4:vdvtp@dvtp_intra 7:r1@dr_intra 8:r1@dr_intra 7:tox1@dt_intra 8:tox1@dt_intra 9:mc_cnr_rnd@9:mc_cnr_round 10:mc_cnr_rnd@10:mc_cnr_round 11:mc_cnr_rnd@11:mc_cnr_round 12:mc_cnr_rnd@12:mc_cnr_round 13:mc_cnr_rnd@13:mc_cnr_round 14:mc_cnr_rnd@14:mc_cnr_round ntrh ntdh1 ntrl1 ntdl ntdh2 ntrl2 temper alter#
28 -2.040e-02 -3.542e-03 -1.524e-02  1.978e-02 -8.421e-03 -8.636e-03  1.978e-08  2.023e-08  7.511e-10  9.505e-10    0.1704  3.829e-02 -1.228e-02   -0.3567   -0.1320   -0.1949    3.1416    3.1416  1.674e-18 -2.643e-21    3.1416  1.674e-18  110.0000 1
29 -3.394e-02 -3.249e-03 -4.451e-03  8.439e-04  1.793e-02 -4.672e-03  2.321e-08  2.356e-08  1.069e-09  8.872e-10 -2.803e-02 -9.397e-02    0.2760    0.1219    0.1379 -3.095e-02    3.1416    3.1416  4.565e-21  1.001e-24    3.1416  4.565e-21  110.0000 1
30 -1.170e-02  6.801e-03  3.299e-03  3.156e-02  9.043e-03  4.815e-03  2.102e-08  2.351e-08  9.368e-10  9.213e-10    0.1405   -0.3064    0.3957   -0.5407   -0.4298   -0.1291    3.1416    3.1416  7.949e-17  9.934e-24    3.1416  7.949e-17  110.0000 1
31  1.875e-02 -4.885e-02  8.335e-03  5.136e-03 -6.037e-03  3.005e-02  2.155e-08  2.048e-08  1.078e-09  8.836e-10   -0.1833   -0.6812 -2.529e-04    0.5461    0.2095   -0.1190    3.1416    3.1416  3.552e-21 -6.189e-23    3.1416  3.552e-21  110.0000 1
32 -1.628e-02 -1.046e-03  2.735e-03 -9.613e-03  6.232e-03  3.709e-02  1.911e-08  2.050e-08  1.103e-09  1.223e-09    0.4183   -0.5379   -0.1465   -0.1522    0.1874 -7.633e-03    3.1416    3.1416  7.830e-17 -3.578e-21    3.1416  7.830e-17  110.0000 1
33 -2.280e-02 -1.641e-02 -3.380e-02  1.560e-02 -3.135e-03  4.557e-02  2.432e-08  1.816e-08  1.031e-09  9.379e-10   -0.1389    0.1730    0.1758   -0.4213   -0.2198   -0.2475    3.1416    3.1416 -2.989e-20 -1.301e-25    3.1416 -2.989e-20  110.0000 1
34  2.754e-03 -3.796e-03  2.864e-02  2.109e-02 -4.229e-03  8.952e-03  1.604e-08  2.227e-08  1.012e-09  9.097e-10   -0.1521    0.2785   -0.2018    0.2692 -9.511e-02    0.2765    3.1416    3.1416  3.097e-19 -1.027e-21    3.1416  3.097e-19  110.0000 1
35  4.182e-02  6.917e-03 -1.911e-02 -4.102e-03 -2.764e-02  2.204e-02  2.449e-08  1.950e-08  1.110e-09  1.002e-09    0.2535  3.840e-02 -7.630e-02   -0.1249    0.6406  7.392e-02    3.1416    3.1416  1.980e-19 -4.783e-27    3.1416  1.980e-19  110.0000 1
36  1.206e-03 -1.293e-02 -2.109e-03 -6.976e-03  7.552e-04 -1.047e-02  2.476e-08  2.515e-08  1.209e-09  1.075e-09   -0.4684   -0.5522    0.1934    0.6261    0.3234    0.2766    0.7790    3.1416  1.520e-20    0.    0.6824  1.520e-20  110.0000 1
37  6.913e-03  1.174e-02 -2.880e-02  2.369e-02  1.178e-02  2.626e-03  2.162e-08  2.514e-08  1.071e-09  9.292e-10   -0.4749    0.4721    0.2692   -0.2080   -0.2277    0.2263    3.1416    3.1416 -1.070e-18 -5.374e-23    3.1416 -1.070e-18  110.0000 1
38  3.963e-03 -3.471e-02 -2.851e-02 -1.549e-02  3.179e-02 -1.027e-03  2.396e-08  2.551e-08  9.054e-10  7.977e-10   -0.1403    0.1598   -0.3664 -8.846e-02   -0.2020   -0.3851    3.1416    3.1416  2.973e-20 -1.340e-22    0.8617  2.973e-20  110.0000 1
39 -9.314e-03  7.211e-04  4.006e-03  4.429e-05  2.725e-03  1.942e-02  2.379e-08  2.352e-08  1.126e-09  1.145e-09    0.3128    0.5050    0.2449    0.5305    0.1017    0.5916    3.1416    3.1416  7.032e-19  3.227e-27    0.6954  7.032e-19  110.0000 1
